"","pairnum","sex","zygosity","moed","faed","faminc","english","math","socsci","natsci","vocab"
"1",1,"2","1","3","4","2",14,13,17,18,14
"2",1,"2","1","3","4","2",11,14,15,10,12
"3",4,"2","1","1","1","1",20,20,16,16,13
"4",4,"2","1","1","1","1",17,19,13,13,14
"5",5,"2","1","1","1","1",11,8,15,16,12
"6",5,"2","1","1","1","1",16,13,13,8,15
"7",7,"1","2","3","2","4",9,19,7,10,6
"8",7,"1","2","3","2","4",8,16,15,17,11
"9",10,"1","2","5","4","3",15,23,23,21,21
"10",10,"1","2","5","4","3",15,13,13,20,19
"11",11,"2","2","4","2","3",20,17,16,12,12
"12",11,"2","2","4","2","3",19,18,13,18,15
"13",12,"1","1","4","6","3",26,20,27,23,28
"14",12,"1","1","4","6","3",25,20,29,24,30
"15",16,"1","1","4","6","5",28,31,31,29,30
"16",16,"1","1","4","6","5",27,28,28,27,30
"17",17,"2","2","5","4","1",24,25,17,21,22
"18",17,"2","2","5","4","1",27,25,22,24,23
"19",19,"1","1","3","2","2",19,19,17,22,16
"20",19,"1","1","3","2","2",19,22,13,14,17
"21",20,"1","1","2","1","2",7,18,15,14,5
"22",20,"1","1","2","1","2",16,15,17,15,7
"23",26,"2","1","3","5","4",22,23,23,24,23
"24",26,"2","1","3","5","4",21,24,24,24,26
"25",27,"2","2","4","1","3",8,7,13,3,10
"26",27,"2","2","4","1","3",16,15,13,14,15
"27",28,"2","1","4","3","2",25,17,21,18,23
"28",28,"2","1","4","3","2",22,13,19,15,19
"29",29,"1","1","4","4","4",21,14,25,23,25
"30",29,"1","1","4","4","4",18,17,17,20,20
"31",30,"2","2","5","3","2",22,21,16,21,27
"32",30,"2","2","5","3","2",24,20,25,18,26
"33",33,"2","2","6","6","2",23,26,25,20,23
"34",33,"2","2","6","6","2",18,13,24,18,22
"35",35,"2","1","2","4","2",18,19,21,20,21
"36",35,"2","1","2","4","2",23,20,16,18,24
"37",36,"1","1","3","5","5",19,25,25,28,26
"38",36,"1","1","3","5","5",23,29,24,23,27
"39",37,"2","1","2","1","1",13,14,14,11,13
"40",37,"2","1","2","1","1",14,12,13,13,16
"41",38,"1","1","6","5","4",10,17,12,20,9
"42",38,"1","1","6","5","4",15,16,21,14,10
"45",42,"1","1","4","4","1",23,11,21,21,21
"46",42,"1","1","4","4","1",24,23,24,21,21
"47",46,"2","1","4","4","4",17,5,14,15,18
"48",46,"2","1","4","4","4",20,13,13,13,18
"49",48,"1","2","4","6","5",20,27,23,23,18
"50",48,"1","2","4","6","5",24,28,28,31,28
